abbr,team_name,gp,ppg,opp_ppg,fg_pct,fg3m,rpg,apg,spg,bpg,topg,win_pct
SAC,Sacramento Kings,82,120.7,118.1,0.495,13.8,42.5,27.3,7.0,3.4,13.5,0.585
GSW,Golden State Warriors,82,118.9,117.1,0.48,16.6,44.6,29.8,7.2,3.9,16.3,0.537
ATL,Atlanta Hawks,82,118.4,118.1,0.484,10.8,44.4,25.0,7.1,4.9,12.9,0.5
BOS,Boston Celtics,82,117.9,111.4,0.476,16.0,45.3,26.7,6.4,5.2,13.4,0.695
OKC,Oklahoma City Thunder,82,117.5,116.4,0.467,12.1,43.6,24.4,8.2,4.2,13.0,0.488
LAL,Los Angeles Lakers,82,117.2,116.6,0.483,10.8,45.7,25.3,6.4,4.6,14.1,0.524
UTA,Utah Jazz,82,117.1,118.0,0.474,13.3,45.9,26.0,6.1,5.2,15.4,0.451
MIL,Milwaukee Bucks,82,116.9,113.3,0.474,14.8,48.6,25.8,6.4,4.9,14.6,0.707
MEM,Memphis Grizzlies,82,116.9,113.0,0.475,12.0,46.6,26.0,8.3,5.8,13.6,0.622
IND,Indiana Pacers,82,116.3,119.5,0.47,13.6,41.5,27.0,7.7,5.8,14.9,0.427
NYK,New York Knicks,82,116.0,113.1,0.471,12.6,46.6,22.9,6.4,4.1,13.0,0.573
MIN,Minnesota Timberwolves,82,115.8,115.8,0.492,12.2,41.9,26.2,8.0,5.4,15.3,0.512
DEN,Denver Nuggets,82,115.8,112.5,0.505,11.8,43.0,28.9,7.5,4.5,14.5,0.646
PHI,Philadelphia 76ers,82,115.2,110.9,0.488,12.6,40.9,25.2,7.7,4.7,13.7,0.659
NOP,New Orleans Pelicans,82,114.4,112.5,0.481,11.0,43.7,25.9,8.3,4.1,14.6,0.512
DAL,Dallas Mavericks,82,114.2,114.1,0.476,15.2,38.8,22.9,6.3,3.7,12.2,0.463
LAC,Los Angeles Clippers,82,113.6,113.1,0.479,12.7,43.2,23.9,7.1,4.4,14.2,0.537
PHX,Phoenix Suns,82,113.6,111.6,0.468,12.2,44.2,27.3,7.1,5.3,13.5,0.549
POR,Portland Trail Blazers,82,113.4,117.4,0.475,12.9,40.5,24.2,6.7,4.6,14.5,0.402
BKN,Brooklyn Nets,82,113.4,112.5,0.488,12.8,40.5,25.5,7.1,6.2,13.7,0.549
WAS,Washington Wizards,82,113.2,114.4,0.487,11.3,43.6,25.4,6.8,5.2,14.1,0.427
CHI,Chicago Bulls,82,113.1,111.8,0.491,10.4,42.4,24.5,7.9,4.5,13.4,0.488
SAS,San Antonio Spurs,82,113.0,123.1,0.467,11.1,43.7,27.2,7.0,3.9,15.3,0.268
TOR,Toronto Raptors,82,112.9,111.4,0.46,10.7,43.0,23.9,9.4,5.2,11.7,0.5
CLE,Cleveland Cavaliers,82,112.3,106.9,0.49,11.6,41.1,24.9,7.1,4.7,13.3,0.622
ORL,Orlando Magic,82,111.4,114.0,0.471,10.8,43.2,23.2,7.4,4.7,15.1,0.415
CHA,Charlotte Hornets,82,111.0,117.2,0.458,10.7,44.5,25.1,7.7,5.2,14.2,0.329
HOU,Houston Rockets,82,110.7,118.6,0.457,10.4,46.3,22.4,7.3,4.6,16.2,0.268
DET,Detroit Pistons,82,110.3,118.5,0.455,11.4,42.4,23.0,7.0,3.8,15.1,0.207
MIA,Miami Heat,82,109.5,109.8,0.46,12.0,40.6,23.8,8.0,3.0,13.5,0.537
