season,ppg,fg3a,efg,rpg,apg,games
1946,67.8,,,,,331
1947,72.7,0.0,0.241,,5.4,194
1948,80.0,,,,18.0,360
1949,80.0,,,,,563
1950,84.1,,,,21.5,354
1951,83.7,,,58.0,22.8,330
1952,82.4,,,,,351
1953,79.6,,,0.0,0.0,323
1954,93.1,,,0.0,0.0,288
1955,99.0,,,,,290
1956,99.7,,,59.3,,290
1957,106.6,,,77.0,,288
1958,108.2,,,62.9,18.5,288
1959,115.3,0.0,0.49,62.1,,300
1962,115.3,,,56.4,25.5,360
1963,111.0,,,56.0,25.5,360
1964,110.6,,,,,360
1965,115.5,,,60.8,27.5,360
1967,116.6,,,,,492
1968,112.3,,,,,574
1969,116.7,,,,,574
1971,110.2,,,43.0,27.0,697
1972,107.6,,,43.0,25.5,697
1973,105.7,,,,,697
1974,102.6,,,,,738
1977,108.5,,,,,902
1978,110.3,,,,,902
1979,109.3,,,,,902
1980,108.1,,,,,943
1981,108.6,2.3,0.5,42.9,25.1,943
1982,108.5,2.1,0.489,44.5,25.9,943
1983,110.1,1.9,0.497,43.1,26.2,943
1984,110.8,3.1,0.497,49.6,26.2,943
1985,110.2,3.3,0.494,43.6,26.0,943
1986,109.9,4.7,0.49,44.0,26.0,943
1987,108.2,5.0,0.491,43.4,25.8,943
1988,109.2,6.6,0.491,43.9,25.6,1025
1989,107.0,6.6,0.49,43.1,24.9,1107
1990,106.3,7.1,0.489,43.3,24.7,1107
1991,105.3,7.6,0.488,43.7,24.5,1107
1992,105.3,9.0,0.492,43.1,24.7,1107
1993,101.5,9.9,0.486,43.0,24.4,1107
1994,101.4,15.3,0.501,41.6,23.4,1107
1995,99.5,16.0,0.5,41.3,22.7,1189
1996,96.9,16.8,0.494,41.1,22.0,1189
1997,95.6,12.7,0.48,41.5,22.0,1189
1998,91.6,13.2,0.467,41.7,20.7,725
1999,97.5,13.7,0.479,42.9,22.3,1189
2000,94.8,13.7,0.474,42.5,21.8,1189
2001,95.5,14.7,0.478,42.4,21.9,1189
2002,95.1,14.7,0.475,42.3,21.5,1189
2003,93.4,14.9,0.472,42.2,21.3,1189
2004,97.2,15.8,0.483,41.9,21.3,1230
2005,97.0,16.0,0.491,41.0,20.6,1230
2006,98.7,16.9,0.497,41.1,21.3,1230
2007,99.9,18.1,0.498,42.0,21.8,1230
2008,100.0,18.1,0.501,41.3,21.0,1230
2009,100.4,18.1,0.502,41.7,21.2,1230
2010,99.6,18.0,0.5,41.4,21.5,1230
2011,96.3,18.4,0.488,42.2,21.0,990
2013,101.0,21.5,0.503,42.7,22.0,1230
2014,100.0,22.4,0.497,43.3,22.0,1230
2015,102.7,24.1,0.504,43.8,22.3,1230
2016,105.6,27.0,0.515,43.5,22.6,1230
2017,106.3,29.0,0.522,43.5,23.2,1230
2018,111.2,32.0,0.525,45.2,24.6,1230
2019,111.8,34.1,0.53,44.8,24.4,1059
2020,112.1,34.6,0.539,44.3,24.8,1080
2021,110.6,35.2,0.533,44.5,24.6,1230
2022,114.7,34.2,0.547,43.4,25.3,1230
